Sample	Coverage	FNR_Value	Hausdorff_Distance	Frechet_Distance	SSE	SSE_log10	Distance_Scale
gr_wolf.spain.SAMN04851099	4.0	0.89	1097829453.8510103	1097829453.8510103	256745458300.48422	6.619110234630848	psmc
gr_wolf.spain.SAMN04851099	4.0	0.9	1297923209.083334	1297923209.083334	357801425696.4128	8.001744145876359	psmc
gr_wolf.spain.SAMN04851099	4.0	0.91	1542482243.2561736	1542482243.2561736	529209378491.7105	9.647109696407394	psmc
gr_wolf.spain.SAMN04851099	4.0	0.92	1848181035.9722233	1848181035.9722233	755821208635.614	11.469587457717402	psmc
gr_wolf.spain.SAMN04851099	4.0	0.93	2241222340.8928595	2241222340.8928595	1109102090919.6772	13.759387237604189	psmc
gr_wolf.spain.SAMN04851099	4.0	0.94	2765277414.120367	2765277414.120367	1623849847199.5671	16.35715052353369	psmc
gr_wolf.spain.SAMN04851099	4.0	0.95	3498954516.6388845	3498954516.6388845	2527339243441.5264	19.75225691446376	psmc
gr_wolf.spain.SAMN04851099	4.0	0.96	4599470170.416661	4599470170.416661	4068159276484.375	24.21309964867628	psmc
gr_wolf.spain.SAMN04851099	4.0	0.97	6433662926.712956	6518447985.4648075	6656653636879.631	29.412765918230615	psmc
gr_wolf.spain.SAMN04851099	4.0	0.98	9479283388.194435	9569710376.727768	11732268948287.584	37.63660646606159	psmc
gr_wolf.spain.SAMN04851099	4.0	0.99	16179190301.527763	16179190301.527763	29271004465063.516	56.22779437157853	psmc
