years	0.0
10000.0	10096.257252222224
10886.0	10096.257252222224
11851.0	10096.257252222224
12902.0	10096.257252222224
14046.0	10096.257252222224
15291.0	10096.257252222224
16646.0	10096.257252222224
18122.0	10096.257252222224
19728.0	10096.257252222224
21476.0	10096.257252222224
23380.0	10096.257252222224
25452.0	78836.61627666667
27709.0	78836.61627666667
30165.0	77897.43568444444
32838.0	77897.43568444444
35749.0	79565.0939738889
38918.0	79565.0939738889
42367.0	81091.97619944444
46123.0	81091.97619944444
50211.0	82910.73266666666
54661.0	85143.42786277778
59506.0	85143.42786277778
64781.0	86010.52935333333
70522.0	84501.61199833333
76773.0	84501.61199833333
83578.0	82251.65471388889
90986.0	80269.76492333334
99051.0	79176.4993288889
107830.0	79176.4993288889
117388.0	78956.35279777778
127792.0	79165.03519388889
139119.0	79564.34726777779
151450.0	80220.17485277778
164874.0	80220.17485277778
179488.0	81136.427175
195397.0	82287.71622666667
212716.0	83781.39199222223
231570.0	85622.63749055556
252095.0	87563.15097777778
274439.0	89193.91320055556
298764.0	90161.73216833334
325245.0	90310.80984722222
354073.0	89679.62356388889
385457.0	88448.5248061111
419622.0	86858.83141944444
456815.0	85163.98424277778
497305.0	83573.63199777779
541383.0	82219.50242722222
589369.0	81157.29102222223
641607.0	80379.53072166667
698476.0	79851.78519666666
760385.0	79529.07638500001
827782.0	79375.38669777778
901152.0	79359.090935
981025.0	79460.51119444445
1067978.0	79668.05156944445
1162638.0	79972.75158666668
1265689.0	80359.85281944445
1377873.0	80805.50459611112
1500000.0	81268.1109938889
